Ward Code,nimdm_ward_lgd,official_ward_lgd,SOA Code,SOA Name
95MM11,Creggan South Derry,CREGGAN SOUTH DERRY,95MM11W1,Creggan South
95MM12,Crevagh Derry,CREVAGH DERRY,95MM12S1,Crevagh 1
95MM12,Crevagh Derry,CREVAGH DERRY,95MM12S2,Crevagh 2
95MM12,Crevagh Derry,CREVAGH DERRY,95MM12S3,Crevagh 3
95MM13,Culmore Derry,CULMORE DERRY,95MM13S1,Culmore 1
95MM13,Culmore Derry,CULMORE DERRY,95MM13S2,Culmore 2
95MM13,Culmore Derry,CULMORE DERRY,95MM13S3,Culmore 3
95MM13,Culmore Derry,CULMORE DERRY,95MM13S4,Culmore 4
95MM13,Culmore Derry,CULMORE DERRY,95MM13S5,Culmore 5
95MM14,Ebrington Derry,EBRINGTON DERRY,95MM14S1,Ebrington 1
95MM14,Ebrington Derry,EBRINGTON DERRY,95MM14S2,Ebrington 2
95MM15,Eglinton Derry,EGLINTON DERRY,95MM15S1,Eglinton 1
95MM15,Eglinton Derry,EGLINTON DERRY,95MM15S2,Eglinton 2
95MM16,Enagh Derry,ENAGH (DERRY) DERRY,95MM16S1,Enagh 1 (Derry LGD)
95MM16,Enagh Derry,ENAGH (DERRY) DERRY,95MM16S2,Enagh 2 (Derry LGD)
95MM17,Foyle Springs Derry,FOYLE SPRINGS DERRY,95MM17S1,Foyle Springs 1
95MM17,Foyle Springs Derry,FOYLE SPRINGS DERRY,95MM17S2,Foyle Springs 2
95MM18,Holly Mount Derry,HOLLY MOUNT DERRY,95MM18S1,Holly Mount 1
95MM18,Holly Mount Derry,HOLLY MOUNT DERRY,95MM18S2,Holly Mount 2
95MM19,Kilfennan Derry,KILFENNAN DERRY,95MM19S1,Kilfennan 1
95MM19,Kilfennan Derry,KILFENNAN DERRY,95MM19S2,Kilfennan 2
95MM20,Lisnagelvin Derry,LISNAGELVIN DERRY,95MM20S1,Lisnagelvin 1
