Ward Code,nimdm_ward_lgd,official_ward_lgd,SOA Code,SOA Name
95GG28,Highfield Belfast,HIGHFIELD BELFAST,95GG28S3,Highfield 3
95GG29,Island Belfast,ISLAND BELFAST,95GG29S1,Island 1
95GG29,Island Belfast,ISLAND BELFAST,95GG29S2,Island 2
95GG30,Knock Belfast,KNOCK BELFAST,95GG30S1,Knock 1
95GG30,Knock Belfast,KNOCK BELFAST,95GG30S2,Knock 2
95GG30,Knock Belfast,KNOCK BELFAST,95GG30S3,Knock 3
95GG31,Ladybrook Belfast,LADYBROOK BELFAST,95GG31S1,Ladybrook 1
95GG31,Ladybrook Belfast,LADYBROOK BELFAST,95GG31S2,Ladybrook 2
95GG31,Ladybrook Belfast,LADYBROOK BELFAST,95GG31S3,Ladybrook 3
95GG32,Legoniel Belfast,LEGONIEL BELFAST,95GG32S1,Legoniel 1
95GG32,Legoniel Belfast,LEGONIEL BELFAST,95GG32S2,Legoniel 2
95GG32,Legoniel Belfast,LEGONIEL BELFAST,95GG32S3,Legoniel 3
95GG33,Malone Belfast,MALONE BELFAST,95GG33S1,Malone 1
95GG33,Malone Belfast,MALONE BELFAST,95GG33S2,Malone 2
95GG33,Malone Belfast,MALONE BELFAST,95GG33S3,Malone 3
95GG34,Musgrave Belfast,MUSGRAVE BELFAST,95GG34S1,Musgrave 1
95GG34,Musgrave Belfast,MUSGRAVE BELFAST,95GG34S2,Musgrave 2
95GG34,Musgrave Belfast,MUSGRAVE BELFAST,95GG34S3,Musgrave 3
95GG35,New Lodge Belfast,NEW LODGE BELFAST,95GG35S1,New Lodge 1
95GG35,New Lodge Belfast,NEW LODGE BELFAST,95GG35S2,New Lodge 2
95GG35,New Lodge Belfast,NEW LODGE BELFAST,95GG35S3,New Lodge 3
95GG36,Orangefield Belfast,ORANGEFIELD BELFAST,95GG36S1,Orangefield 1
95GG36,Orangefield Belfast,ORANGEFIELD BELFAST,95GG36S2,Orangefield 2
95GG36,Orangefield Belfast,ORANGEFIELD BELFAST,95GG36S3,Orangefield 3
95GG37,Ravenhill Belfast,RAVENHILL BELFAST,95GG37S1,Ravenhill 1
95GG37,Ravenhill Belfast,RAVENHILL BELFAST,95GG37S2,Ravenhill 2
95GG37,Ravenhill Belfast,RAVENHILL BELFAST,95GG37S3,Ravenhill 3
95GG38,Rosetta Belfast,ROSETTA BELFAST,95GG38S1,Rosetta 1
95GG38,Rosetta Belfast,ROSETTA BELFAST,95GG38S2,Rosetta 2
95GG38,Rosetta Belfast,ROSETTA BELFAST,95GG38S3,Rosetta 3
95GG39,Shaftesbury Belfast,SHAFTESBURY BELFAST,95GG39S1,Shaftesbury 1
95GG39,Shaftesbury Belfast,SHAFTESBURY BELFAST,95GG39S2,Shaftesbury 2
